id,latitude,longitude,hub_id,driver_id,num_items,created_at,started_at,completed_at
2448,37.791404,-122.394388,6,110,7,3/13/14 0:35,3/13/14 0:44,3/13/14 0:59
2449,37.77532,-122.44802,7,75,1,3/13/14 0:37,3/13/14 0:39,3/13/14 0:48
2450,37.797043,-122.428251,4,79,1,3/13/14 0:38,3/13/14 0:39,3/13/14 0:46
2451,37.80467,-122.43604,4,78,1,3/13/14 0:38,3/13/14 0:40,3/13/14 1:03
2452,37.73924,-122.42867,2,118,3,3/13/14 0:39,3/13/14 0:40,3/13/14 0:51
2453,37.75828,-122.44278,5,39,2,3/13/14 0:40,3/13/14 0:42,3/13/14 0:55
2454,37.791693,-122.398338,6,92,2,3/13/14 0:41,3/13/14 0:50,3/13/14 1:04
2455,37.80183,-122.40169,6,115,3,3/13/14 0:41,3/13/14 0:55,3/13/14 1:28
2456,37.77888,-122.44199,5,33,1,3/13/14 0:41,3/13/14 0:42,3/13/14 0:54
2457,37.76657,-122.42426,5,48,1,3/13/14 0:42,3/13/14 0:45,3/13/14 1:02
2458,37.80378,-122.40531,4,123,2,3/13/14 0:43,3/13/14 0:46,3/13/14 1:02
2459,37.79748,-122.40228,6,68,1,3/13/14 0:43,3/13/14 1:02,3/13/14 1:10
2460,37.79153,-122.4175,8,81,2,3/13/14 0:46,3/13/14 0:49,3/13/14 0:58
2461,37.75823,-122.39318,1,69,2,3/13/14 0:46,3/13/14 0:47,3/13/14 0:54
2462,37.78328,-122.407229,1,46,3,3/13/14 0:46,3/13/14 0:49,3/13/14 1:15
2463,37.795156,-122.414849,8,81,2,3/13/14 0:47,3/13/14 0:59,3/13/14 1:09
2464,37.805383,-122.420276,4,53,1,3/13/14 0:47,3/13/14 0:49,3/13/14 0:56
2465,37.79198,-122.39336,6,83,4,3/13/14 0:47,3/13/14 1:06,3/13/14 1:30
2466,37.79383,-122.43093,4,99,2,3/13/14 0:49,3/13/14 0:49,3/13/14 0:57
2467,37.777951,-122.433303,5,126,1,3/13/14 0:51,3/13/14 0:52,3/13/14 1:02
2468,37.7761,-122.416959,8,121,1,3/13/14 0:52,3/13/14 0:58,3/13/14 1:19
2469,37.79185,-122.42533,8,120,1,3/13/14 0:52,3/13/14 0:57,3/13/14 1:11
2470,37.79299,-122.4022,6,97,10,3/13/14 0:53,3/13/14 1:20,3/13/14 1:25
2471,37.7815,-122.4426,7,49,2,3/13/14 0:54,3/13/14 0:57,3/13/14 1:07
2472,37.757156,-122.443709,5,54,2,3/13/14 0:54,3/13/14 0:55,3/13/14 1:14
2473,37.7891,-122.43972,4,79,1,3/13/14 0:54,3/13/14 0:54,3/13/14 1:09
2474,37.760726,-122.443663,5,54,2,3/13/14 0:54,3/13/14 1:15,3/13/14 1:25
2475,37.79299,-122.4022,6,97,2,3/13/14 0:55,3/13/14 1:25,3/13/14 1:26
2476,37.78812,-122.43234,8,104,1,3/13/14 0:56,3/13/14 1:01,3/13/14 1:21
2477,37.75226,-122.44597,2,63,1,3/13/14 0:57,3/13/14 0:59,3/13/14 1:10
2478,37.769511,-122.434981,5,44,2,3/13/14 0:58,3/13/14 0:58,3/13/14 1:14
2479,37.796994,-122.398983,6,68,2,3/13/14 0:58,3/13/14 1:10,3/13/14 1:19
2480,37.787089,-122.38801,1,42,2,3/13/14 0:58,3/13/14 1:05,3/13/14 1:20
2481,37.78979,-122.39877,1,38,3,3/13/14 0:59,3/13/14 1:00,3/13/14 1:24
2482,37.78313,-122.38926,1,103,3,3/13/14 0:59,3/13/14 1:02,3/13/14 1:15
2483,37.795083,-122.403148,6,68,2,3/13/14 0:59,3/13/14 1:19,3/13/14 1:31
2484,37.768111,-122.422833,5,33,2,3/13/14 1:00,3/13/14 1:02,3/13/14 1:09
2485,37.75719,-122.44125,5,39,2,3/13/14 1:00,3/13/14 1:05,3/13/14 1:15
2486,37.79806,-122.41511,8,55,4,3/13/14 1:01,3/13/14 1:06,3/13/14 1:20
2487,37.78335,-122.438739,7,80,1,3/13/14 1:01,3/13/14 1:08,3/13/14 1:19
2488,37.767727,-122.445632,5,48,2,3/13/14 1:02,3/13/14 1:09,3/13/14 1:18
2489,37.799461,-122.431883,4,72,1,3/13/14 1:04,3/13/14 1:05,3/13/14 1:13
2490,37.74802,-122.43482,2,66,2,3/13/14 1:04,3/13/14 1:07,3/13/14 1:13
2491,37.79345,-122.39818,6,113,1,3/13/14 1:05,3/13/14 1:21,3/13/14 1:34
2492,37.762816,-122.397532,1,62,1,3/13/14 1:05,3/13/14 1:07,3/13/14 1:15
2493,37.78879,-122.43719,4,53,2,3/13/14 1:07,3/13/14 1:10,3/13/14 1:23
2494,37.789042,-122.417596,8,111,2,3/13/14 1:07,3/13/14 1:11,3/13/14 1:18
2495,37.77229,-122.44068,5,126,1,3/13/14 1:08,3/13/14 1:12,3/13/14 1:20
2496,37.73859,-122.423289,2,87,1,3/13/14 1:08,3/13/14 1:11,3/13/14 1:20
2497,37.79509,-122.40315,6,82,1,3/13/14 1:09,3/13/14 1:22,3/13/14 1:28
2498,37.78366,-122.39601,1,100,1,3/13/14 1:10,3/13/14 1:13,3/13/14 1:35
2499,37.773727,-122.402163,1,40,10,3/13/14 1:10,3/13/14 1:19,3/13/14 1:23
2500,37.773727,-122.402163,1,40,2,3/13/14 1:11,3/13/14 1:23,3/13/14 1:23
2501,37.75513,-122.41212,2,117,2,3/13/14 1:14,3/13/14 1:17,3/13/14 1:31
2502,37.802018,-122.42681,4,123,2,3/13/14 1:15,3/13/14 1:18,3/13/14 1:23
2503,37.75505,-122.43443,2,118,1,3/13/14 1:15,3/13/14 1:17,3/13/14 1:24
2504,37.755216,-122.419835,2,119,1,3/13/14 1:16,3/13/14 1:19,3/13/14 1:30
2505,37.77301,-122.40207,1,32,1,3/13/14 1:16,3/13/14 1:22,3/13/14 1:29
2506,37.74056,-122.41576,2,66,3,3/13/14 1:17,3/13/14 1:22,3/13/14 1:33
